cluster,cluster_label,top_terms,score_debug,n_docs
15,Software / Backend (data-related),"externatic, esn, entreprises, recrutement, ans, reseau acceder, cybersecurite voir, voir jour, externatic ers, ers cabinets, externatic bref, ers, france credo, esn externatic, entreprises esn, entreprises finales, externalise entreprises, ans professionnalisme, bref ans, ans externatic","{""Data Scientist / ML"": 2, ""Data Analyst / BI"": 5, ""Data Engineer"": 4, ""Cloud / DevOps Data"": 3, ""LLM / GenAI / RAG"": 0, ""Quant / Finance"": 2, ""Data Architecture"": 1, ""Software / Backend (data-related)"": 6}",174
16,Data Analyst / BI,"credit, credit agricole, agricole, financement, groupe, groupe credit, klanik, magasin, vente, leurs projets, entite rejoignez, leurs, banque, projets, generales entite, une, finance responsable, entite, groupe klanik, financement investissement","{""Data Scientist / ML"": 4, ""Data Analyst / BI"": 8, ""Data Engineer"": 3, ""Cloud / DevOps Data"": 4, ""LLM / GenAI / RAG"": 2, ""Quant / Finance"": 5, ""Data Architecture"": 1, ""Software / Backend (data-related)"": 4}",139
17,Data Scientist / ML,"emploi, offres, app, cv, salaire, profil, offre, data, recruteur, stage, postulez, premiers, alertes, parametres, telechargez, vus, deconnexion, telechargez app, vus candidatures, profil parametres","{""Data Scientist / ML"": 14, ""Data Analyst / BI"": 12, ""Data Engineer"": 13, ""Cloud / DevOps Data"": 11, ""LLM / GenAI / RAG"": 2, ""Quant / Finance"": 4, ""Data Architecture"": 6, ""Software / Backend (data-related)"": 10}",889
18,Data Scientist / ML,"ai, mistral, designed, life, time enhance, learning creativity, ai believe, models products, seamlessly daily, designed integrate, life democratize, working life, tasks save, comprehensive ai, creativity technology, simplify tasks, ai simplify, technology designed, edge models, source cutting","{""Data Scientist / ML"": 7, ""Data Analyst / BI"": 2, ""Data Engineer"": 0, ""Cloud / DevOps Data"": 2, ""LLM / GenAI / RAG"": 3, ""Quant / Finance"": 1, ""Data Architecture"": 0, ""Software / Backend (data-related)"": 0}",115
19,Data Analyst / BI,"mobility, job, global, meta, anglais, valeo, people, breakthrough, company, automotive, partner, emissions leader, global innovative, automakers new, company designing, mobility thanks, actors worldwide, businesses recognized, breakthrough solutions, designing breakthrough","{""Data Scientist / ML"": 4, ""Data Analyst / BI"": 6, ""Data Engineer"": 1, ""Cloud / DevOps Data"": 0, ""LLM / GenAI / RAG"": 1, ""Quant / Finance"": 4, ""Data Architecture"": 1, ""Software / Backend (data-related)"": 0}",139
20,Cloud / DevOps Data,"thales, plus, avenir, ensemble imaginer, renommee thales, moteur derriere, thales sommes, contribuent construire, derriere technologie, chez thales, confiance technologies, inclusif avenir, nulle intelligence, vert plus, nulle, ne viennent, viennent nulle, thales projets, humaine moteur, technologie renommee","{""Data Scientist / ML"": 0, ""Data Analyst / BI"": 1, ""Data Engineer"": 0, ""Cloud / DevOps Data"": 6, ""LLM / GenAI / RAG"": 0, ""Quant / Finance"": 0, ""Data Architecture"": 0, ""Software / Backend (data-related)"": 2}",120
21,Data Analyst / BI,"une, equipe, missions, nos, vos, transformation, clients, sein, projets, gestion, developpement, aux, poste, client, cadre, recherche, vos missions, direction, mission, charge","{""Data Scientist / ML"": 12, ""Data Analyst / BI"": 13, ""Data Engineer"": 11, ""Cloud / DevOps Data"": 7, ""LLM / GenAI / RAG"": 4, ""Quant / Finance"": 4, ""Data Architecture"": 5, ""Software / Backend (data-related)"": 7}",4575
22,Data Analyst / BI,"steria, sopra steria, sopra, es, description entreprise, grandes, reconnu activites, activites conseil, entreprise sopra, une, conseil, conseil services, majeur tech, tech europe, steria acteur, clients mener, mener transformation, obtenir benefices, reponse globale, enjeux competitivite","{""Data Scientist / ML"": 5, ""Data Analyst / BI"": 10, ""Data Engineer"": 10, ""Cloud / DevOps Data"": 8, ""LLM / GenAI / RAG"": 2, ""Quant / Finance"": 1, ""Data Architecture"": 4, ""Software / Backend (data-related)"": 7}",140
23,Data Analyst / BI,"prets immobiliers, courtier prets, courtier, immobiliers, prets, entreprise autonome, arretez cette, clients acquereurs, entreprendre seul, enseigne mission, carriere souhaitez, souhaitez entreprendre, autonome ambitieux, statut independant, business beneficiant, soutien enseigne, immobiliers veritable, immobiliers statut, suite carriere, seul arretez","{""Data Scientist / ML"": 0, ""Data Analyst / BI"": 3, ""Data Engineer"": 0, ""Cloud / DevOps Data"": 0, ""LLM / GenAI / RAG"": 0, ""Quant / Finance"": 0, ""Data Architecture"": 0, ""Software / Backend (data-related)"": 0}",101
24,Data Engineer,"data, donnees, une, equipe, engineer, data engineer, bi, equipes, analyst, nos, projets, missions, analyse, clients, solutions, metiers, data analyst, concevoir, pipelines, tant","{""Data Scientist / ML"": 13, ""Data Analyst / BI"": 16, ""Data Engineer"": 18, ""Cloud / DevOps Data"": 9, ""LLM / GenAI / RAG"": 3, ""Quant / Finance"": 3, ""Data Architecture"": 9, ""Software / Backend (data-related)"": 5}",2444
